white,black,score_mean
mcts-10-10k-epsilon-95,random,0
mcts-10-10k-random,mcts-05-10k-epsilon-75,0
mcts-05-10k-epsilon-75,nega-aggro-3,-1
mcts-10-10k-random,mcts-05-10k-epsilon-95,-0.1
mcts-05-10k-epsilon-75,nega-attack-1,-0.8
mcts-10-10k-random,mcts-05-10k-random,0.1
mcts-10-10k-random,mcts-10-10k-epsilon-75,0
mcts-10-10k-random,mcts-10-10k-epsilon-95,-0.1
mcts-10-10k-random,mcts-10-10k-random,0.1
mcts-10-10k-random,mcts-full-1k-random,-0.1
mcts-10-10k-random,nega-aggro-1,-0.9
mcts-10-10k-random,nega-aggro-2,-1
mcts-10-10k-random,nega-aggro-3,-1
mcts-05-10k-epsilon-75,mcts-05-10k-epsilon-75,0
mcts-10-10k-random,nega-attack-1,-0.7
mcts-10-10k-random,nega-attack-2,-1
mcts-05-10k-epsilon-75,nega-attack-2,-1
mcts-10-10k-random,nega-attack-3,-1
mcts-10-10k-random,nega-center-1,-0.7
mcts-10-10k-random,nega-center-2,-1
mcts-10-10k-random,nega-center-3,-1
mcts-10-10k-random,nega-pieces-1,-0.9
mcts-10-10k-random,nega-pieces-2,-1
mcts-10-10k-random,nega-pieces-3,-1
mcts-10-10k-random,random,-0.2
mcts-05-10k-epsilon-75,mcts-05-10k-epsilon-95,0.1
mcts-full-1k-random,mcts-05-10k-epsilon-75,0.3
mcts-full-1k-random,mcts-05-10k-epsilon-95,0.1
mcts-05-10k-epsilon-75,nega-attack-3,-1
mcts-full-1k-random,mcts-05-10k-random,0
mcts-full-1k-random,mcts-10-10k-epsilon-75,0.1
mcts-full-1k-random,mcts-10-10k-epsilon-95,0.1
mcts-full-1k-random,mcts-10-10k-random,0
mcts-full-1k-random,mcts-full-1k-random,0
mcts-full-1k-random,nega-aggro-1,-0.9
mcts-full-1k-random,nega-aggro-2,-1
mcts-full-1k-random,nega-aggro-3,-1
mcts-full-1k-random,nega-attack-1,-0.5
mcts-full-1k-random,nega-attack-2,-0.8
mcts-05-10k-epsilon-75,nega-center-1,-0.8
mcts-full-1k-random,nega-attack-3,-0.9
mcts-full-1k-random,nega-center-1,-0.5
mcts-full-1k-random,nega-center-2,-0.9
mcts-full-1k-random,nega-center-3,-1
mcts-full-1k-random,nega-pieces-1,-0.7
mcts-full-1k-random,nega-pieces-2,-0.9
mcts-full-1k-random,nega-pieces-3,-0.9
mcts-full-1k-random,random,0
nega-aggro-1,mcts-05-10k-epsilon-75,1
nega-aggro-1,mcts-05-10k-epsilon-95,1
mcts-05-10k-epsilon-75,nega-center-2,-0.8
nega-aggro-1,mcts-05-10k-random,1
nega-aggro-1,mcts-10-10k-epsilon-75,1
nega-aggro-1,mcts-10-10k-epsilon-95,1
nega-aggro-1,mcts-10-10k-random,1
nega-aggro-1,mcts-full-1k-random,1
nega-aggro-1,nega-aggro-1,-0.1
nega-aggro-1,nega-aggro-2,-1
nega-aggro-1,nega-aggro-3,-1
nega-aggro-1,nega-attack-1,-0.1
nega-aggro-1,nega-attack-2,-0.9
mcts-05-10k-epsilon-75,nega-center-3,-1
nega-aggro-1,nega-attack-3,-1
nega-aggro-1,nega-center-1,-0.4
nega-aggro-1,nega-center-2,-0.8
nega-aggro-1,nega-center-3,-1
nega-aggro-1,nega-pieces-1,-0.4
nega-aggro-1,nega-pieces-2,-1
nega-aggro-1,nega-pieces-3,-0.9
nega-aggro-1,random,1
nega-aggro-2,mcts-05-10k-epsilon-75,1
nega-aggro-2,mcts-05-10k-epsilon-95,1
mcts-05-10k-epsilon-75,nega-pieces-1,-1
nega-aggro-2,mcts-05-10k-random,1
nega-aggro-2,mcts-10-10k-epsilon-75,0.9
nega-aggro-2,mcts-10-10k-epsilon-95,1
nega-aggro-2,mcts-10-10k-random,1
nega-aggro-2,mcts-full-1k-random,1
nega-aggro-2,nega-aggro-1,0.9
nega-aggro-2,nega-aggro-2,-0.2
nega-aggro-2,nega-aggro-3,-0.7
nega-aggro-2,nega-attack-1,1
nega-aggro-2,nega-attack-2,-0.3
mcts-05-10k-epsilon-75,nega-pieces-2,-0.9
nega-aggro-2,nega-attack-3,-0.7
nega-aggro-2,nega-center-1,0.8
nega-aggro-2,nega-center-2,0
nega-aggro-2,nega-center-3,-0.8
nega-aggro-2,nega-pieces-1,0.9
nega-aggro-2,nega-pieces-2,0.2
nega-aggro-2,nega-pieces-3,-0.9
nega-aggro-2,random,1
nega-aggro-3,mcts-05-10k-epsilon-75,1
nega-aggro-3,mcts-05-10k-epsilon-95,1
mcts-05-10k-epsilon-75,nega-pieces-3,-1
nega-aggro-3,mcts-05-10k-random,1
nega-aggro-3,mcts-10-10k-epsilon-75,0.9
nega-aggro-3,mcts-10-10k-epsilon-95,1
nega-aggro-3,mcts-10-10k-random,1
nega-aggro-3,mcts-full-1k-random,0.9
nega-aggro-3,nega-aggro-1,1
nega-aggro-3,nega-aggro-2,0.9
nega-aggro-3,nega-aggro-3,-0.2
nega-aggro-3,nega-attack-1,1
nega-aggro-3,nega-attack-2,0.6
mcts-05-10k-epsilon-75,random,-0.2
nega-aggro-3,nega-attack-3,-0.2
nega-aggro-3,nega-center-1,0.8
nega-aggro-3,nega-center-2,0.7
nega-aggro-3,nega-center-3,-0.1
nega-aggro-3,nega-pieces-1,1
nega-aggro-3,nega-pieces-2,0.9
nega-aggro-3,nega-pieces-3,-0.3
nega-aggro-3,random,1
nega-attack-1,mcts-05-10k-epsilon-75,0.9
nega-attack-1,mcts-05-10k-epsilon-95,0.9
mcts-05-10k-epsilon-95,mcts-05-10k-epsilon-75,-0.1
nega-attack-1,mcts-05-10k-random,1
nega-attack-1,mcts-10-10k-epsilon-75,0.7
nega-attack-1,mcts-10-10k-epsilon-95,0.8
nega-attack-1,mcts-10-10k-random,0.9
nega-attack-1,mcts-full-1k-random,0.3
nega-attack-1,nega-aggro-1,0.5
nega-attack-1,nega-aggro-2,-0.7
nega-attack-1,nega-aggro-3,-0.9
nega-attack-1,nega-attack-1,0.1
nega-attack-1,nega-attack-2,-0.7
mcts-05-10k-epsilon-95,mcts-05-10k-epsilon-95,-0.1
nega-attack-1,nega-attack-3,-1
nega-attack-1,nega-center-1,0
nega-attack-1,nega-center-2,-0.9
nega-attack-1,nega-center-3,-0.9
nega-attack-1,nega-pieces-1,0
nega-attack-1,nega-pieces-2,-1
nega-attack-1,nega-pieces-3,-1
nega-attack-1,random,0.6
mcts-05-10k-epsilon-75,mcts-05-10k-random,0.1
nega-attack-2,mcts-05-10k-epsilon-75,1
nega-attack-2,mcts-05-10k-epsilon-95,0.9
mcts-05-10k-epsilon-95,mcts-05-10k-random,0.1
nega-attack-2,mcts-05-10k-random,1
nega-attack-2,mcts-10-10k-epsilon-75,1
nega-attack-2,mcts-10-10k-epsilon-95,1
nega-attack-2,mcts-10-10k-random,0.9
nega-attack-2,mcts-full-1k-random,1
nega-attack-2,nega-aggro-1,0.9
nega-attack-2,nega-aggro-2,0.6
nega-attack-2,nega-aggro-3,-0.9
nega-attack-2,nega-attack-1,0.9
nega-attack-2,nega-attack-2,-0.1
mcts-05-10k-epsilon-95,mcts-10-10k-epsilon-75,-0.4
nega-attack-2,nega-attack-3,-0.7
nega-attack-2,nega-center-1,0.6
nega-attack-2,nega-center-2,0
nega-attack-2,nega-center-3,-0.6
nega-attack-2,nega-pieces-1,0.7
nega-attack-2,nega-pieces-2,0.4
nega-attack-2,nega-pieces-3,-0.3
nega-attack-2,random,1
nega-attack-3,mcts-05-10k-epsilon-75,1
nega-attack-3,mcts-05-10k-epsilon-95,1
mcts-05-10k-epsilon-95,mcts-10-10k-epsilon-95,0
nega-attack-3,mcts-05-10k-random,1
nega-attack-3,mcts-10-10k-epsilon-75,1
nega-attack-3,mcts-10-10k-epsilon-95,1
nega-attack-3,mcts-10-10k-random,1
nega-attack-3,mcts-full-1k-random,0.9
nega-attack-3,nega-aggro-1,0.9
nega-attack-3,nega-aggro-2,0.9
nega-attack-3,nega-aggro-3,0.4
nega-attack-3,nega-attack-1,1
nega-attack-3,nega-attack-2,0.5
mcts-05-10k-epsilon-95,mcts-10-10k-random,0
nega-attack-3,nega-attack-3,0.2
nega-attack-3,nega-center-1,0.9
nega-attack-3,nega-center-2,0.6
nega-attack-3,nega-center-3,0.1
nega-attack-3,nega-pieces-1,0.9
nega-attack-3,nega-pieces-2,0.7
nega-attack-3,nega-pieces-3,0.1
nega-attack-3,random,0.9
nega-center-1,mcts-05-10k-epsilon-75,1
nega-center-1,mcts-05-10k-epsilon-95,1
mcts-05-10k-epsilon-95,mcts-full-1k-random,-0.2
nega-center-1,mcts-05-10k-random,0.9
nega-center-1,mcts-10-10k-epsilon-75,0.9
nega-center-1,mcts-10-10k-epsilon-95,1
nega-center-1,mcts-10-10k-random,0.9
nega-center-1,mcts-full-1k-random,0.5
nega-center-1,nega-aggro-1,0.1
nega-center-1,nega-aggro-2,-0.9
nega-center-1,nega-aggro-3,-0.9
nega-center-1,nega-attack-1,-0.3
nega-center-1,nega-attack-2,-0.8
mcts-05-10k-epsilon-95,nega-aggro-1,-1
nega-center-1,nega-attack-3,-1
nega-center-1,nega-center-1,-0.1
nega-center-1,nega-center-2,-0.9
nega-center-1,nega-center-3,-1
nega-center-1,nega-pieces-1,0
nega-center-1,nega-pieces-2,-0.8
nega-center-1,nega-pieces-3,-1
nega-center-1,random,0.6
nega-center-2,mcts-05-10k-epsilon-75,1
nega-center-2,mcts-05-10k-epsilon-95,1
mcts-05-10k-epsilon-95,nega-aggro-2,-1
nega-center-2,mcts-05-10k-random,1
nega-center-2,mcts-10-10k-epsilon-75,0.9
nega-center-2,mcts-10-10k-epsilon-95,1
nega-center-2,mcts-10-10k-random,1
nega-center-2,mcts-full-1k-random,0.9
nega-center-2,nega-aggro-1,0.9
nega-center-2,nega-aggro-2,0.2
nega-center-2,nega-aggro-3,-0.8
nega-center-2,nega-attack-1,1
nega-center-2,nega-attack-2,-0.1
