white,black,time_ratio_mean
mcts-10-10k-epsilon-95,random,433544.5158550404
mcts-10-10k-random,mcts-05-10k-epsilon-75,0.541990937403532
mcts-05-10k-epsilon-75,nega-aggro-3,9.767291315797237
mcts-10-10k-random,mcts-05-10k-epsilon-95,0.9578377071904891
mcts-05-10k-epsilon-75,nega-attack-1,575.7574422159213
mcts-10-10k-random,mcts-05-10k-random,1.2155490226501209
mcts-10-10k-random,mcts-10-10k-epsilon-75,0.35173299722695284
mcts-10-10k-random,mcts-10-10k-epsilon-95,0.7096655688835984
mcts-10-10k-random,mcts-10-10k-random,0.9968903723285972
mcts-10-10k-random,mcts-full-1k-random,0.81189378494095
mcts-10-10k-random,nega-aggro-1,904.5082545399798
mcts-10-10k-random,nega-aggro-2,126.87823149148207
mcts-10-10k-random,nega-aggro-3,6.348011786110609
mcts-05-10k-epsilon-75,mcts-05-10k-epsilon-75,1.0109392708233051
mcts-10-10k-random,nega-attack-1,318.72622709055753
mcts-10-10k-random,nega-attack-2,40.51851064379209
mcts-05-10k-epsilon-75,nega-attack-2,73.14894132726324
mcts-10-10k-random,nega-attack-3,2.3657678947896947
mcts-10-10k-random,nega-center-1,892.9937080121363
mcts-10-10k-random,nega-center-2,109.11185611004953
mcts-10-10k-random,nega-center-3,6.5405336935816605
mcts-10-10k-random,nega-pieces-1,9900.7620261707
mcts-10-10k-random,nega-pieces-2,2110.565080126807
mcts-10-10k-random,nega-pieces-3,183.8117274982692
mcts-10-10k-random,random,306132.71544296696
mcts-05-10k-epsilon-75,mcts-05-10k-epsilon-95,1.776881610418436
mcts-full-1k-random,mcts-05-10k-epsilon-75,0.7433374910464025
mcts-full-1k-random,mcts-05-10k-epsilon-95,1.216704499175969
mcts-05-10k-epsilon-75,nega-attack-3,3.941535270864788
mcts-full-1k-random,mcts-05-10k-random,1.576286423118573
mcts-full-1k-random,mcts-10-10k-epsilon-75,0.4527894850048897
mcts-full-1k-random,mcts-10-10k-epsilon-95,0.9198616455242415
mcts-full-1k-random,mcts-10-10k-random,1.2330580584001711
mcts-full-1k-random,mcts-full-1k-random,1.0023025365637837
mcts-full-1k-random,nega-aggro-1,1396.5846086795882
mcts-full-1k-random,nega-aggro-2,141.95166073756366
